Component,Origin,License
core,"cloud.google.com/go/trace/apiv1",Apache-2.0
core,"cloud.google.com/go/trace/apiv2",Apache-2.0
core,"cloud.google.com/go/translate",Apache-2.0
core,"cloud.google.com/go/translate/apiv3",Apache-2.0
core,"cloud.google.com/go/videointelligence/apiv1",Apache-2.0
core,"cloud.google.com/go/videointelligence/apiv1beta2",Apache-2.0
core,"cloud.google.com/go/vision/apiv1",Apache-2.0
core,"cloud.google.com/go/vision/apiv1p1beta1",Apache-2.0
core,"cloud.google.com/go/webrisk/apiv1beta1",Apache-2.0
core,"code.cloudfoundry.org/bbs",Apache-2.0
core,"code.cloudfoundry.org/bbs/cmd/bbs/config",Apache-2.0
core,"code.cloudfoundry.org/bbs/cmd/bbs/testrunner",Apache-2.0
core,"code.cloudfoundry.org/bbs/controllers",Apache-2.0
core,"code.cloudfoundry.org/bbs/controllers/fakes",Apache-2.0
core,"code.cloudfoundry.org/bbs/converger",Apache-2.0
core,"code.cloudfoundry.org/bbs/converger/fake_controllers",Apache-2.0
core,"code.cloudfoundry.org/bbs/db",Apache-2.0
core,"code.cloudfoundry.org/bbs/db/dbfakes",Apache-2.0
core,"code.cloudfoundry.org/bbs/db/migrations",Apache-2.0
core,"code.cloudfoundry.org/bbs/db/sqldb",Apache-2.0
core,"code.cloudfoundry.org/bbs/db/sqldb/fakesqldriver",Apache-2.0
core,"code.cloudfoundry.org/bbs/db/sqldb/fakesqldriver/fakesqldriverfakes",Apache-2.0
core,"code.cloudfoundry.org/bbs/db/sqldb/helpers",Apache-2.0
core,"code.cloudfoundry.org/bbs/db/sqldb/helpers/helpersfakes",Apache-2.0
core,"code.cloudfoundry.org/bbs/db/sqldb/helpers/monitor",Apache-2.0
core,"code.cloudfoundry.org/bbs/db/sqldb/helpers/monitor/monitorfakes",Apache-2.0
core,"code.cloudfoundry.org/bbs/encryption",Apache-2.0
core,"code.cloudfoundry.org/bbs/encryption/encryptionfakes",Apache-2.0
core,"code.cloudfoundry.org/bbs/encryptor",Apache-2.0
core,"code.cloudfoundry.org/bbs/events",Apache-2.0
core,"code.cloudfoundry.org/bbs/events/calculator",Apache-2.0
core,"code.cloudfoundry.org/bbs/events/eventfakes",Apache-2.0
core,"code.cloudfoundry.org/bbs/fake_bbs",Apache-2.0
core,"code.cloudfoundry.org/bbs/format",Apache-2.0
core,"code.cloudfoundry.org/bbs/guidprovider",Apache-2.0
core,"code.cloudfoundry.org/bbs/guidprovider/fakes",Apache-2.0
core,"code.cloudfoundry.org/bbs/guidprovider/guidproviderfakes",Apache-2.0
core,"code.cloudfoundry.org/bbs/handlers",Apache-2.0
core,"code.cloudfoundry.org/bbs/handlers/fake_controllers",Apache-2.0
core,"code.cloudfoundry.org/bbs/handlers/middleware",Apache-2.0
core,"code.cloudfoundry.org/bbs/handlers/middleware/fakes",Apache-2.0
core,"code.cloudfoundry.org/bbs/metrics",Apache-2.0
core,"code.cloudfoundry.org/bbs/metrics/fakes",Apache-2.0
core,"code.cloudfoundry.org/bbs/metrics/metricsfakes",Apache-2.0
core,"code.cloudfoundry.org/bbs/migration",Apache-2.0
core,"code.cloudfoundry.org/bbs/migration/migrationfakes",Apache-2.0
core,"code.cloudfoundry.org/bbs/models",Apache-2.0
core,"code.cloudfoundry.org/bbs/models/test/matchers",Apache-2.0
